番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
402,２―トリメチルアセチル―１，３―インダンジオン,83-26-1,1%未満,1%未満,"2-Trimethylacetyl-1,3-indandione","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
403,トリメチルアミン,75-50-3,1%未満,1%未満,Trimethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
404,トリメチルベンゼン,25551-13-7,1%未満,1%未満,Trimethylbenzene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
405,トリレンジイソシアネート,26471-62-5他,1%未満,0.1%未満,Tolylene diisocyanate,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
406,トルイジン,26915-12-8,0.1%未満,0.1%未満,Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
406,ｏ－トルイジン,95-53-4,0.1%未満,0.1%未満,o-Toluidine,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
406,ｍ－トルイジン,108-44-1,0.1%未満,0.1%未満,m-Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
406,ｐ－トルイジン,106-49-0,0.1%未満,0.1%未満,p-Toluidine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
407,トルエン,108-88-3,0.3%未満,0.1%未満,Toluene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
408,ナフタレン,91-20-3,1%未満,0.1%未満,Naphthalene,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
409,１―ナフチルチオ尿素,86-88-4,1%未満,1%未満,1-Naphthylthiourea,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
410,１―ナフチル―Ｎ―メチルカルバメート（別名カルバリル）,63-25-2,1%未満,1%未満,1-Naphthyl-N-methylcarbamate (alias Carbaryl),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
411,鉛及びその無機化合物,＊,0.1%未満,0.1%未満,Lead and its inorganic compounds,"0.1%, no less than ","0.1%, no less than ",,,○※鉛化合物は厚生労働大臣指定の物に限る。,,0.1%,0.1%,0.1%,0.1%
412,二亜硫酸ナトリウム,7681-57-4,1%未満,1%未満,Sodium disulfite,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
413,ニコチン,54-11-5,1%未満,0.1%未満,Nicotine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
414,二酸化硫黄,7446-09-5,1%未満,1%未満,Sulfur dioxide,"1%, no less than ","1%, no less than ",○第3類,,,,1%,1.0%,1%,1.0%
415,二酸化塩素,10049-04-4,1%未満,1%未満,Chlorine dioxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
416,二酸化窒素,10102-44-0,1%未満,0.1%未満,Nitrogen dioxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
417,二硝酸プロピレン,6423-43-4,1%未満,1%未満,Propylene glycol dinitrate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
418,ニッケル,7440-02-0,1%未満,0.1%未満,Nickel,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
418,ニッケル化合物,＊,0.1%未満,0.1%未満,Nickel compounds,"0.1%, no less than ","0.1%, no less than ","○第2類
※粉状の物に限る",,,,0.1%,0.1%,0.1%,0.1%
418,ニッケルカルボニル,13463-39-3,0.1%未満,0.1%未満,Nickel carbonyl,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
419,ニトリロ三酢酸,139-13-9,1%未満,0.1%未満,Nitrilotriacetic acid,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
420,５―ニトロアセナフテン,602-87-9,1%未満,0.1%未満,5-Nitroacenaphthene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
421,ニトロエタン,79-24-3,1%未満,1%未満,Nitroethane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
422,ニトログリコール,628-96-6,1%未満,1%未満,Nitroglycol,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
423,ニトログリセリン,55-63-0,－,－,Nitroglycerin （※）,－,－,,,,,0,0.0%,0,0.0%
424,ニトロセルローズ,9004-70-0,－,－,Nitrocellulose,－,－,,,,,0,0.0%,0,0.0%
425,Ｎ―ニトロソモルホリン,59-89-2,1%未満,0.1%未満,N-Nitrosomorpholine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
426,ニトロトルエン,1321-12-6,0.1%未満,0.1%未満,Nitrotoluene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
426,ｏ－ニトロトルエン,88-72-2,0.1%未満,0.1%未満,o-Nitrotoluene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
426,ｍ－ニトロトルエン,99-08-1,0.1%未満,0.1%未満,m-Nitrotoluene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
426,ｐ－ニトロトルエン,99-99-0,0.1%未満,0.1%未満,p-Nitrotoluene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
427,ニトロプロパン,下記,1%未満,0.1%未満,Nitropropane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
427,１－ニトロプロパン,108-03-2,1%未満,0.1%未満,1-Nitropropane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
427,２－ニトロプロパン,79-46-9,1%未満,0.1%未満,2-Nitropropane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
428,ニトロベンゼン,98-95-3,1%未満,0.1%未満,Nitrobenzene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
429,ニトロメタン,75-52-5,1%未満,0.1%未満,Nitromethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
430,乳酸ノルマル―ブチル,138-22-7,1%未満,1%未満,n-Butyl lactate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
431,二硫化炭素,75-15-0,0.3%未満,0.1%未満,Carbon disulfide,"0.3%, no less than ","0.1%, no less than ",,○第1種,,,0.3%,0.3%,0.1%,0.1%
432,ノナン,111-84-2他,1%未満,1%未満,Nonane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
433,ノルマル―ブチルアミン,109-73-9,1%未満,1%未満,n-Butylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
434,ノルマル―ブチルエチルケトン,106-35-4,1%未満,1%未満,n-Butyl ethyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
435,ノルマル―ブチル―２，３―エポキシプロピルエーテル,2426-08-6,1%未満,0.1%未満,"n-Butyl 2,3-epoxypropyl ether","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
436,Ｎ―［１―（Ｎ―ノルマル―ブチルカルバモイル）―１Ｈ―２―ベンゾイミダゾリル］カルバミン酸メチル（別名ベノミル）,17804-35-2,0.1%未満,0.1%未満,Methyl N-[1-(N-n-butylcarbamoyl)-1H-2-benzimidazolyl]carbamate (alias Benomyl),"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
437,白金及びその水溶性塩,＊,1%未満,0.1%未満,Platinum and its water-soluble salts,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
438,ハフニウム及びその化合物,＊,1%未満,1%未満,Hafnium and its compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
439,パラ―アニシジン,104-94-9,1%未満,1%未満,p-Anisidine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
440,パラ―クロロアニリン,106-47-8,1%未満,0.1%未満,p-Chloroaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
441,パラ―ジクロロベンゼン,106-46-7,0.3%未満,0.1%未満,p-Dichlorobenzene,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
442,パラ―ジメチルアミノアゾベンゼン,60-11-7,1%未満,0.1%未満,p-Dimethylaminoazobenzene,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
443,パラ―ターシャリ―ブチルトルエン,98-51-1,0.3%未満,0.1%未満,p-tert-Butyltoluene,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
444,パラ―ニトロアニリン,100-01-6,1%未満,0.1%未満,p-Nitroaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
445,パラ―ニトロクロロベンゼン,100-00-5,1%未満,0.1%未満,p-Nitrochlorobenzene,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
446,パラ―フェニルアゾアニリン,60-09-3,1%未満,0.1%未満,p-Phenylazoaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
447,パラ―ベンゾキノン,106-51-4,1%未満,1%未満,p-Benzoquinone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
448,パラ―メトキシフェノール,150-76-5,1%未満,1%未満,p-Methoxyphenol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
449,バリウム及びその水溶性化合物,＊,1%未満,1%未満,Barium and its water-soluble compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
450,ピクリン酸,88-89-1,－,－,Picric acid,－,－,,,,,0,0.0%,0,0.0%
451,ビス（２，３―エポキシプロピル）エーテル,2238-07-5,1%未満,1%未満,"Bis(2,3-epoxypropyl) ether","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
452,１，３―ビス［（２，３―エポキシプロピル）オキシ］ベンゼン,101-90-6,1%未満,0.1%未満,"1,3-Bis[(2,3-epoxypropyl)oxy]benzene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
453,ビス（２―クロロエチル）エーテル,111-44-4,1%未満,1%未満,Bis(2-chloroethyl) ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
454,ビス（２―クロロエチル）スルフィド（別名マスタードガス）,505-60-2,0.1%未満,0.1%未満,Bis(2-chloroethyl) sulfide (alias Mustard gas),"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
455,Ｎ，Ｎ―ビス（２―クロロエチル）メチルアミン―Ｎ―オキシド,126-85-2,0.1%未満,0.1%未満,"N,N-Bis(2-chloroethyl)methylamine N-oxide","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
456,ビス（ジチオりん酸）Ｓ，Ｓ′―メチレン―Ｏ，Ｏ，　Ｏ′，Ｏ′―テトラエチル（別名エチオン）,563-12-2,1%未満,1%未満,"O,O,O',O'-Tetraethyl S,S'-methylene bis(phosphorodithioate) (alias Ethion)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
457,ビス（２―ジメチルアミノエチル）エーテル,3033-62-3,1%未満,1%未満,Bis(2-dimethylaminoethyl) ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
458,砒素及びその化合物,＊,0.1%未満,0.1%未満,Arsenic and its compounds,"0.1%, no less than ","0.1%, no less than ","○第2類
※アルシンと砒化ガリウムを除く",,,,0.1%,0.1%,0.1%,0.1%
459,ヒドラジン,302-01-2,1%未満,0.1%未満,Hydrazine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
460,ヒドラジン一水和物,7803-57-8,1%未満,0.1%未満,Hydrazine monohydrate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
461,ヒドロキノン,123-31-9,0.1%未満,0.1%未満,Hydroquinone,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
462,４―ビニル―１―シクロヘキセン,100-40-3,1%未満,0.1%未満,4-Vinyl-1-cyclohexene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
463,４―ビニルシクロヘキセンジオキシド,106-87-6,1%未満,0.1%未満,4-Vinylcyclohexene dioxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
464,ビニルトルエン,25013-15-4,1%未満,1%未満,Vinyltoluene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
464-2,Ｎ―ビニル―２―ピロリドン,88-12-0,1%未満,0.1%未満,N-Vinyl-2-pyrrolidone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
465,ビフェニル,92-52-4,1%未満,0.1%未満,Biphenyl,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
466,ピペラジン二塩酸塩,142-64-3,1%未満,1%未満,Piperazine dihydrochloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
467,ピリジン,110-86-1,1%未満,0.1%未満,Pyridine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
468,ピレトラム,8003-34-7,1%未満,0.1%未満,Pyrethrum,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
468-2,フェニルイソシアネート,103-71-9,1%未満,0.1%未満,Phenyl isocyanate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
469,フェニルオキシラン,96-09-3,0.1%未満,0.1%未満,Phenyloxirane,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
470,フェニルヒドラジン,100-63-0,1%未満,0.1%未満,Phenylhydrazine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
471,フェニルホスフィン,638-21-1,1%未満,0.1%未満,Phenylphosphine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
472,フェニレンジアミン,25265-76-3,1%未満,0.1%未満,Phenylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
472,ｏ－フェニレンジアミン,95-54-5,1%未満,0.1%未満,o-Phenylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
472,ｍ－フェニレンジアミン,108-45-2,1%未満,0.1%未満,m-Phenylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
472,ｐ－フェニレンジアミン,106-50-3,1%未満,0.1%未満,p-Phenylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
473,フェノチアジン,92-84-2,1%未満,1%未満,Phenothiazine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
474,フェノール,108-95-2,0.1%未満,0.1%未満,Phenol,"0.1%, no less than ","0.1%, no less than ",○第3類,,,,0.1%,0.1%,0.1%,0.1%
475,フェロバナジウム,12604-58-9,1%未満,1%未満,Ferrovanadium,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
476,１，３―ブタジエン,106-99-0,0.1%未満,0.1%未満,"1,3-Butadiene","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
477,ブタノール,下記,1%未満,0.1%未満,Butanol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
477,１－ブタノール,71-36-3,1%未満,0.1%未満,1-Butanol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
477,２－ブタノール,78-92-2,1%未満,0.1%未満,2-Butanol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
477,イソブタノール（イソブチルアルコール）,78-83-1,1%未満,0.1%未満,Isobutanol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
477,tert－ブタノール,75-65-0,1%未満,0.1%未満,tert-Butanol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
478,フタル酸ジエチル,84-66-2,1%未満,0.1%未満,Diethyl phthalate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
479,フタル酸ジ―ノルマル―ブチル,84-74-2,0.3%未満,0.1%未満,Di-n-butyl phthalate,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
480,フタル酸ジメチル,131-11-3,1%未満,1%未満,Dimethyl phthalate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
481,フタル酸ビス（２―エチルヘキシル）（別名ＤＥＨＰ）,117-81-7,0.3%未満,0.1%未満,Bis (2-ethylhexyl) phthalate (alias DEHP),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
482,ブタン,106-97-8他,1%未満,1%未満,Butane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
482-2,２，３―ブタンジオン（別名ジアセチル）,431-03-8,1%未満,0.1%未満,"2,3-Butanedione","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
483,１―ブタンチオール,109-79-5,1%未満,1%未満,1-Butanethiol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
484,弗化カルボニル,353-50-4,1%未満,1%未満,Carbonyl fluoride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
485,弗化ビニリデン,75-38-7,1%未満,1%未満,Vinylidene fluoride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
486,弗化ビニル,75-02-5,0.1%未満,0.1%未満,Vinyl fluoride,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
487,弗素及びその水溶性無機化合物,＊,1%未満,0.1%未満,Fluorine and its water-soluble inorganic compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
487,弗化水素,7664-39-3,1%未満,0.1%未満,Hydrogen fluoride,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
488,２―ブテナール,123-73-9,0.1%未満,0.1%未満,2-Butenal,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
488-2,ブテン,25167-67-3,1%未満,1%未満,Butene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
488-2,１－ブテン,106-98-9,1%未満,1%未満,1-Butene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
488-2,２－ブテン,107-01-7他,1%未満,1%未満,2-Butene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
488-2,イソブテン,115-11-7,1%未満,1%未満,Isobutene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
489,フルオロ酢酸ナトリウム,62-74-8,1%未満,1%未満,Sodium fluoroacetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
490,フルフラール,98-01-1,1%未満,0.1%未満,Furfural,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
491,フルフリルアルコール,98-00-0,1%未満,1%未満,Furfuryl alcohol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
492,１，３―プロパンスルトン,1120-71-4,0.1%未満,0.1%未満,"1,3-Propanesultone","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
492-2,プロピオンアルデヒド,123-38-6,1%未満,1%未満,Propionaldehyde,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
493,プロピオン酸,79-09-4,1%未満,1%未満,Propionic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
494,プロピルアルコール,下記,1%未満,0.1%未満,Propyl alcohol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
494,ｎ－プロピルアルコール,71-23-8,1%未満,0.1%未満,n-Propyl alcohol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
494,イソプロピルアルコール,67-63-0,1%未満,0.1%未満,Isopropyl alcohol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
495,プロピレンイミン,75-55-8,1%未満,0.1%未満,Propylenimine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
496,プロピレングリコールモノメチルエーテル,107-98-2,1%未満,1%未満,Propylene glycol monomethyl ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
497,２―プロピン―１―オール,107-19-7,1%未満,1%未満,2-Propyn-1-ol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
497-2,プロペン,115-07-1,1%未満,1%未満,Propene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
498,ブロモエチレン,593-60-2,0.1%未満,0.1%未満,Bromoethylene,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
499,２―ブロモ―２―クロロ―１，１，１―トリフルオロエタン（別名ハロタン）,151-67-7,1%未満,0.1%未満,"2-Bromo-2-chloro-1,1,1-trifluoroethane (alias Halothane)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
500,ブロモクロロメタン,74-97-5,1%未満,1%未満,Bromochloromethane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
501,ブロモジクロロメタン,75-27-4,1%未満,0.1%未満,Bromodichloromethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
502,５―ブロモ―３―セカンダリ―ブチル―６―メチル―１，２，３，４―テトラヒドロピリミジン―２，４―ジオン（別名ブロマシル）,314-40-9,1%未満,0.1%未満,"5-Bromo-3-sec-butyl-6-methyl-2,4(1H,3H)-pyrimidinedione (alias Bromacil)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
503,ブロモトリフルオロメタン,75-63-8,1%未満,1%未満,Bromotrifluoromethane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
503-2,１―ブロモプロパン,106-94-5,1%未満,0.1%未満,1-Bromopropane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
504,２―ブロモプロパン,75-26-3,0.3%未満,0.1%未満,2-Bromopropane,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
504-2,３―ブロモ―１―プロペン（別名臭化アリル）,106-95-6,1%未満,1%未満,3-Bromo-1-propene (alias Allyl bromide),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
505,ヘキサクロロエタン,67-72-1,1%未満,0.1%未満,Hexachloroethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
506,１，２，３，４，１０，１０―ヘキサクロロ―６，７―エポキシ―１，４，４ａ，５，６，７，８，８ａ―オクタヒドロ―エキソ―１，４―エンド―５，８―ジメタノナフタレン（別名ディルドリン）,60-57-1,0.3%未満,0.1%未満,"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4, 4a, 5, 6, 7, 8, 8a-octahydro-endo-1,4-exo-5,8-dimethanonaphthalene (alias Dieldrin)","0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
507,１，２，３，４，１０，１０―ヘキサクロロ―６，７―エポキシ―１，４，４ａ，５，６，７，８，８ａ―オクタヒドロ―エンド―１，４―エンド―５，８―ジメタノナフタレン（別名エンドリン）,72-20-8,1%未満,1%未満,"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4, 4a, 5, 6, 7, 8, 8a-octahydro-endo-1,4-endo-5,8-dimethanonaphthalene (alias Endrin)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
508,１，２，３，４，５，６―ヘキサクロロシクロヘキサン（別名リンデン）,608-73-1,1%未満,0.1%未満,"1,2,3,4,5,6-Hexachlorocyclohexane (alias Lindane)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
509,ヘキサクロロシクロペンタジエン,77-47-4,1%未満,0.1%未満,Hexachlorocyclopentadiene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
510,ヘキサクロロナフタレン,1335-87-1,1%未満,1%未満,Hexachloronaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
511,１，４，５，６，７，７―ヘキサクロロビシクロ［２，２，１］―５―ヘプテン―２，３―ジカルボン酸（別名クロレンド酸）,115-28-6,1%未満,0.1%未満,"1,4,5,6,7,7-Hexachlorobicyclo [2.2.1]-5-heptene-2,3-dicarboxylic acid (alias Chlorendic acid)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
512,１，２，３，４，１０，１０―ヘキサクロロ―１，４，４ａ，５，８，８ａ―ヘキサヒドロ―エキソ―１，４―エンド―５，８―ジメタノナフタレン（別名アルドリン）,309-00-2,1%未満,0.1%未満,"1,2,3,4,10,10-Hexachloro-1, 4, 4a, 5, 8, 8a-hexahydro-endo-1,4-exo-5,8-dimethanonaphthalene (alias Aldrin)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
513,ヘキサクロロヘキサヒドロメタノベンゾジオキサチエピンオキサイド（別名ベンゾエピン）,115-29-7,1%未満,1%未満,"Hexachlorohexahydromethanobenzodioxathiepinoxide; 6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine 3-oxide (alias Benzoepin)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
514,ヘキサクロロベンゼン,118-74-1,0.3%未満,0.1%未満,Hexachlorobenzene,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
515,ヘキサヒドロ―１，３，５―トリニトロ―１，３，５―トリアジン（別名シクロナイト）,121-82-4,1%未満,1%未満,"Hexahydro-1,3,5-trinitro-1,3,5-triazine (alias Cyclonite)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
516,ヘキサフルオロアセトン,684-16-2,1%未満,0.1%未満,Hexafluoroacetone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
516-2,ヘキサフルオロアルミン酸三ナトリウム,13775-53-6,1%未満,1%未満,Trisodium hexafluoroaluminate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
516-3,ヘキサフルオロプロペン,116-15-4,1%未満,1%未満,Hexafluoropropene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
517,ヘキサメチルホスホリックトリアミド,680-31-9,0.1%未満,0.1%未満,Hexamethylphosphoric triamide,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
518,ヘキサメチレンジアミン,124-09-4,1%未満,0.1%未満,Hexamethylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
